age,sex,children,wage
27,1,1,15806.521337765053
22,1,1,11786.585035812892
40,1,0,14445.376027935665
26,1,0,12405.773892389718
17,0,0,7383.220810390388
36,1,0,13458.473961500627
33,0,0,8253.845124784473
40,1,1,17670.288678225126
35,1,1,14978.068226091698
19,1,0,10985.114266780347
19,0,1,9583.036293962272
35,1,1,14050.363156605408
16,0,0,7057.173802288927
21,0,0,7337.1094533475225
46,1,1,17006.036357148525
52,0,0,11350.853273673947
31,1,0,14205.718950771992
29,1,0,10943.224308128114
42,0,1,14285.140449949231
29,0,0,8058.425719695466
29,0,1,10968.251472381426
24,1,0,10590.13196367234
9,0,0,6019.067898420333
36,1,0,12460.944804109688
32,1,0,10674.503366320474
55,0,0,10491.922016532797
29,1,0,11334.951500952455
49,1,1,17082.483811923266
42,1,1,16132.542193629819
17,0,0,7748.022630120906
38,0,0,9677.2017617937
35,1,0,12655.389493146578
29,0,0,8531.075220961522
27,0,0,8394.702649217837
35,1,0,13409.85385070141
27,0,1,10598.143172660091
36,0,1,11018.022147043082
15,1,0,10411.642146858525
35,1,0,13572.959437613676
44,0,1,14170.111618696272
63,0,1,13671.065668438554
38,1,0,14541.13085559744
30,1,1,15761.776562386918
27,0,0,6542.443415757001
31,1,0,14262.31931334925
46,1,1,16412.521077855065
36,1,0,12751.817795996352
38,1,1,15678.642043704498
25,0,0,5692.841212168507
4,0,0,6181.751239908808
34,0,0,9970.945127408339
15,1,0,10697.704223195917
20,0,0,6780.587930844057
21,0,0,8276.662004768203
23,1,0,11223.211502453792
28,1,1,15999.620314332542
27,0,1,10668.11371203817
9,0,0,4216.649976557866
27,1,0,11403.985317024431
25,1,0,9427.840986240268
37,1,0,14011.438208165317
17,0,1,11228.494708763297
17,1,0,10875.71896459472
28,1,1,13780.963248326843
16,0,0,7499.053147627421
29,0,1,10586.472335453554
25,1,1,15837.46121545505
28,1,0,11133.065926238487
29,1,1,15885.860003071204
21,1,0,11234.369487229449
31,1,0,13176.003171548582
16,1,1,12618.514308717766
33,0,1,10919.869594518705
30,1,0,12534.380895383449
34,0,1,12649.760586463039
41,0,0,11383.588672529666
21,0,0,7627.800931551595
28,1,0,11953.097091938862
39,0,0,10331.42676376607
23,1,1,14607.708372150923
15,0,1,9950.873326113064
41,1,1,17582.790779858944
29,0,0,9072.792506133475
34,1,0,10406.74139688116
25,1,1,14796.628922036247
53,1,0,15152.38289853069
4,0,1,8405.435880469997
37,1,0,12675.24719727223
24,0,1,11630.85257983537
30,1,1,14914.223095293575
33,1,0,11864.184610830518
37,1,0,12113.793483407338
30,1,1,14727.080719005775
37,1,0,14076.497188249254
42,1,1,15891.562655278572
38,0,0,11791.33380182596
21,0,0,7903.9680321679625
37,1,1,14904.113666542735
47,0,0,10173.281593194071
46,0,1,13981.057462152081
21,1,0,10559.799267158596
27,0,1,10511.137774862236
35,1,0,13013.514484565092
37,0,1,13762.543062578872
26,0,0,7290.954350995057
24,1,0,9519.380798690054
30,1,0,14087.29905346844
23,1,1,14907.615854198779
24,0,1,11698.818481459199
32,0,1,12426.082313738918
37,1,1,14673.261795016588
41,0,0,7770.03840843989
10,1,0,10253.119448835865
28,0,1,10554.109284279639
13,0,0,6056.730537799598
43,1,0,13842.485122462534
30,0,0,7624.809722541397
35,1,0,12877.495866474168
39,0,0,10827.616825758258
25,1,0,11797.065095481026
21,0,0,6993.507936668511
21,0,0,7818.583678458408
29,1,0,11856.814889664054
19,1,0,10362.4152123771
35,1,1,15948.732218882005
25,0,1,12517.180295988961
19,0,0,7618.629360252842
46,0,1,13794.267275608405
31,1,1,13322.534795103697
34,1,1,14400.911530194577
46,1,1,16349.509081967306
29,1,1,13922.53283659635
25,1,0,11878.954521097707
33,1,1,13975.932167319354
16,1,0,11547.161277118725
33,1,0,13745.130440872545
31,1,1,14936.968442297013
21,1,0,12608.274276191643
32,0,1,12657.445549096468
22,1,0,11255.913508824375
32,1,0,11493.841280995455
31,0,0,11577.491392259766
26,0,1,10153.87496347858
32,0,1,11239.349512473516
34,1,0,11915.09661056511
44,1,0,13300.97868435084
16,0,0,8539.024764429989
6,0,1,8846.538137343152
25,0,1,10630.872381747085
25,1,1,12939.250490676808
28,0,1,10072.541077686818
29,0,0,7526.347095903013
22,0,1,10799.428025306155
49,0,0,10890.542814147748
11,0,1,8360.046426585324
18,1,0,10216.428171978721
20,0,1,10537.397784383465
39,0,0,8287.150798798491
11,1,0,9241.944230365987
27,0,1,11236.60850551608
21,1,1,13006.03043770611
33,1,1,16785.056089609818
46,1,1,16138.054523419298
46,0,0,10701.113056952065
19,1,0,10673.856507278802
35,0,1,11583.943489893618
32,1,1,11939.31811282135
12,1,0,8418.576511239
6,1,0,9900.20948568856
37,1,1,15595.524009995836
22,1,0,11495.175893218186
45,0,1,12510.89174637064
19,1,1,13351.63349958808
27,1,1,14592.964594436402
35,1,1,14683.659201587388
12,1,0,10436.089367990087
28,1,0,12838.518032290443
32,0,1,11389.744998556034
19,0,0,7765.53890267098
25,1,0,12172.409879600647
30,1,0,11804.129660510836
19,1,0,12808.331552250585
13,0,0,8516.52805331006
47,0,1,14201.37405191094
33,1,1,16143.210355327074
35,1,1,16422.45370891691
28,0,1,10652.626425553703
42,0,1,12656.62430253741
33,0,0,8322.456534491
13,0,0,7044.285298058834
29,1,0,11595.22095532896
38,1,0,12185.863023675021
38,0,0,10907.355533816293
30,0,1,11370.421324655654
42,1,0,14924.083981459564
34,0,0,8058.42015017097
27,1,0,12810.906049811434
29,1,0,12893.578914477132
41,0,1,12596.837087465557
21,0,1,9621.760393946348
21,0,0,6939.68204593317
40,1,0,12968.976984976436
33,1,1,16472.523600748427
34,1,0,11680.455080463516
24,0,1,11183.22767138754
21,0,1,11166.299947806641
43,0,1,11811.957701671072
41,0,1,14179.547458420095
10,1,0,10699.118343916089
23,0,0,7216.662119398339
24,0,1,11036.004058914734
16,0,1,7597.745362148245
31,0,1,11226.099705123948
21,1,0,10869.610172496894
38,1,1,17314.047785673254
40,0,1,12444.165940629178
19,1,0,11715.153440584385
32,1,1,14562.607319756022
34,0,0,9909.376712104502
36,0,0,10687.79264411417
23,1,0,10361.973954610805
33,1,0,11700.921783447166
11,0,0,6904.538278343131
34,1,0,12794.631933022702
29,1,1,16084.635653684902
30,1,0,11813.083469789708
34,1,1,13622.756410739807
40,0,1,12668.932603670508
32,0,1,11760.184514363827
19,0,0,8878.395494112605
25,0,1,11793.403821370246
15,1,0,10855.496783953822
35,0,0,8002.141926843267
26,0,1,11183.64873399484
28,1,0,11516.318978127809
26,0,1,12090.25407696946
35,0,1,10466.98068756843
29,1,1,15376.98308064288
37,0,1,11503.0509509593
18,1,0,9380.267932602985
40,1,1,16976.72386475206
21,1,0,12909.641429681975
12,1,0,9637.994545398828
16,1,0,11012.978309995027
24,0,1,11506.701956627578
36,1,0,12383.094571427671
31,1,0,12767.620726768713
17,0,0,5879.401322750904
15,0,1,8946.73863286053
36,0,1,13042.455675229727
23,0,0,7825.651810471185
21,1,1,14161.978477543049
27,0,1,10226.734091496566
24,1,0,11707.949404499152
15,0,0,6394.817602809415
30,0,0,7878.805952603865
25,0,1,11397.482393482247
33,1,1,14966.255938418071
32,1,0,11207.814818174302
29,1,1,15100.318068993029
37,1,1,15501.96037884041
36,0,1,12997.487643330036
43,1,0,15445.130048898687
25,1,0,10553.3728724541
31,0,1,11672.669879240266
47,0,0,11922.804427554795
11,0,0,3142.8409114871824
30,0,1,9628.13880843261
17,1,1,12738.690248223895
29,1,1,14018.007402942692
40,1,1,17478.31369928006
23,1,0,12092.849420514025
43,1,0,12597.63663943556
19,0,0,5969.6694407783425
47,1,1,16325.920473947419
29,1,1,15255.762928028329
33,0,1,13517.564677052338
27,0,1,11914.591759250914
